STATISTIC,Statistic Label,TLIST,Year,C03341V04028,Stamp Duty Event,C03721V04469,Transaction Class,C03788V04538,NUTS 3 Region,C03722V04470,Type of Buyer,UNIT,VALUE
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,IE0,Ireland,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,-,All buyer types,Number,710.0
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,-,All buyer types,Number,810.0
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,-,All buyer types,Number,780.0
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,-,All buyer types,Number,890.0
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,-,All buyer types,Number,1570.0
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,-,All buyer types,Number,3870.0
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,-,All buyer types,Number,1490.0
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,-,All buyer types,Number,450.0
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,1,Filings,120,Joint transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,IE0,Ireland,-,All buyer types,Number,20750.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,IE0,Ireland,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,IE0,Ireland,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,-,All buyer types,Number,1390.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,-,All buyer types,Number,1660.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,-,All buyer types,Number,1580.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,-,All buyer types,Number,1880.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,-,All buyer types,Number,2920.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,-,All buyer types,Number,7430.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,-,All buyer types,Number,2820.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,-,All buyer types,Number,1080.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,-,All Transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,IE0,Ireland,-,All buyer types,Number,10060.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,IE0,Ireland,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,IE0,Ireland,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,-,All buyer types,Number,720.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,-,All buyer types,Number,830.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,-,All buyer types,Number,800.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,-,All buyer types,Number,1000.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,-,All buyer types,Number,1370.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,-,All buyer types,Number,3410.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,-,All buyer types,Number,1310.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,-,All buyer types,Number,620.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,110,Sole transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,IE0,Ireland,-,All buyer types,Number,10700.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,IE0,Ireland,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,IE0,Ireland,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,-,All buyer types,Number,670.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,-,All buyer types,Number,820.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,-,All buyer types,Number,780.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,-,All buyer types,Number,880.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,-,All buyer types,Number,1560.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,-,All buyer types,Number,4010.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,-,All buyer types,Number,1510.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,-,All buyer types,Number,460.0
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2012,2012,2,Executions,120,Joint transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,IE0,Ireland,-,All buyer types,Number,24570.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,IE0,Ireland,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,IE0,Ireland,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,-,All buyer types,Number,1780.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,-,All buyer types,Number,2100.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,-,All buyer types,Number,1900.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,-,All buyer types,Number,2090.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,-,All buyer types,Number,3300.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,-,All buyer types,Number,8750.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,-,All buyer types,Number,3430.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,-,All buyer types,Number,1240.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,-,All Transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,IE0,Ireland,-,All buyer types,Number,11670.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,IE0,Ireland,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,IE0,Ireland,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,-,All buyer types,Number,920.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,-,All buyer types,Number,1030.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,-,All buyer types,Number,970.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,-,All buyer types,Number,1060.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC,South East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,-,All buyer types,Number,1570.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,-,All buyer types,Number,3840.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,-,All buyer types,Number,1610.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,-,All buyer types,Number,680.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,110,Sole transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,IE0,Ireland,-,All buyer types,Number,12900.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,IE0,Ireland,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,IE0,Ireland,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,-,All buyer types,Number,850.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,B1A65D7C-1984-4A87-AD58-0E846812C992,Border,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,-,All buyer types,Number,1070.0
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,A69CA800-8D87-4920-A7C1-50426A1D39B4,West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2013,2013,1,Filings,120,Joint transactions,42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78,Mid West,-,All buyer types,Number,930.0
