"STATISTIC","Statistic Label","TLIST(A1)","Year","C03341V04028","Stamp Duty Event","C03721V04469","Transaction Class","C03788V04538","NUTS 3 Region","C03722V04470","Type of Buyer","UNIT","VALUE"
"CRP01C3","Median Age","2017","2017","01","Filings","-","All Transactions","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midlands","-","All buyer types","Number","39"
"CRP01C3","Median Age","2017","2017","01","Filings","-","All Transactions","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midlands","110","Buyer with child/children","Number","38"
"CRP01C3","Median Age","2017","2017","01","Filings","-","All Transactions","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midlands","120","Buyer without child/children","Number","43"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","IE0","Ireland","-","All buyer types","Number","43"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","IE0","Ireland","110","Buyer with child/children","Number","41"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","IE0","Ireland","120","Buyer without child/children","Number","43"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","-","All buyer types","Number","46"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","110","Buyer with child/children","Number","42"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","120","Buyer without child/children","Number","47"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","-","All buyer types","Number","44"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","110","Buyer with child/children","Number","41"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","120","Buyer without child/children","Number","45"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid West","-","All buyer types","Number","42"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid West","110","Buyer with child/children","Number","40"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid West","120","Buyer without child/children","Number","43"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South East","-","All buyer types","Number","46"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South East","110","Buyer with child/children","Number","42"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South East","120","Buyer without child/children","Number","47"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","604546A1-A856-4B9B-AD46-E88B27C27155","South West","-","All buyer types","Number","44"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","604546A1-A856-4B9B-AD46-E88B27C27155","South West","110","Buyer with child/children","Number","42"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","604546A1-A856-4B9B-AD46-E88B27C27155","South West","120","Buyer without child/children","Number","44"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","-","All buyer types","Number","40"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","110","Buyer with child/children","Number","42"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","120","Buyer without child/children","Number","40"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid East","-","All buyer types","Number","44"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid East","110","Buyer with child/children","Number","41"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid East","120","Buyer without child/children","Number","45"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midlands","-","All buyer types","Number","42"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midlands","110","Buyer with child/children","Number","43"
"CRP01C3","Median Age","2017","2017","01","Filings","110","Sole transactions","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midlands","120","Buyer without child/children","Number","42"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","IE0","Ireland","-","All buyer types","Number","38"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","IE0","Ireland","110","Buyer with child/children","Number","38"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","IE0","Ireland","120","Buyer without child/children","Number","37"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","-","All buyer types","Number","41"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","110","Buyer with child/children","Number","38"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","120","Buyer without child/children","Number","47"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","-","All buyer types","Number","40"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","110","Buyer with child/children","Number","39"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","120","Buyer without child/children","Number","46"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid West","-","All buyer types","Number","39"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid West","110","Buyer with child/children","Number","38"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid West","120","Buyer without child/children","Number","45"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South East","-","All buyer types","Number","41"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South East","110","Buyer with child/children","Number","38"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South East","120","Buyer without child/children","Number","52"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","604546A1-A856-4B9B-AD46-E88B27C27155","South West","-","All buyer types","Number","39"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","604546A1-A856-4B9B-AD46-E88B27C27155","South West","110","Buyer with child/children","Number","39"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","604546A1-A856-4B9B-AD46-E88B27C27155","South West","120","Buyer without child/children","Number","39"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","-","All buyer types","Number","37"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","110","Buyer with child/children","Number","38"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","120","Buyer without child/children","Number","35"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid East","-","All buyer types","Number","37"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid East","110","Buyer with child/children","Number","37"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid East","120","Buyer without child/children","Number","35"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midlands","-","All buyer types","Number","39"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midlands","110","Buyer with child/children","Number","37"
"CRP01C3","Median Age","2017","2017","01","Filings","120","Joint transactions","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midlands","120","Buyer without child/children","Number","44"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","IE0","Ireland","-","All buyer types","Number","39"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","IE0","Ireland","110","Buyer with child/children","Number","38"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","IE0","Ireland","120","Buyer without child/children","Number","39"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","-","All buyer types","Number","42"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","110","Buyer with child/children","Number","39"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","120","Buyer without child/children","Number","46"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","-","All buyer types","Number","41"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","110","Buyer with child/children","Number","39"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","120","Buyer without child/children","Number","46"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid West","-","All buyer types","Number","40"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid West","110","Buyer with child/children","Number","38"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid West","120","Buyer without child/children","Number","43"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South East","-","All buyer types","Number","43"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South East","110","Buyer with child/children","Number","39"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","27C93D4E-AD0E-4B0C-8FA8-3566AEEDA5CC","South East","120","Buyer without child/children","Number","50"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","604546A1-A856-4B9B-AD46-E88B27C27155","South West","-","All buyer types","Number","40"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","604546A1-A856-4B9B-AD46-E88B27C27155","South West","110","Buyer with child/children","Number","39"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","604546A1-A856-4B9B-AD46-E88B27C27155","South West","120","Buyer without child/children","Number","42"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","-","All buyer types","Number","37"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","110","Buyer with child/children","Number","38"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","F97E459B-57ED-49C0-8A28-2BC1C7F08E88","Dublin","120","Buyer without child/children","Number","36"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid East","-","All buyer types","Number","37"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid East","110","Buyer with child/children","Number","37"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF","Mid East","120","Buyer without child/children","Number","37"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midlands","-","All buyer types","Number","39"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midlands","110","Buyer with child/children","Number","38"
"CRP01C3","Median Age","2017","2017","02","Executions","-","All Transactions","B26C8BAA-F3C5-49A9-B74E-D7FED1823E65","Midlands","120","Buyer without child/children","Number","43"
"CRP01C3","Median Age","2017","2017","02","Executions","110","Sole transactions","IE0","Ireland","-","All buyer types","Number","43"
"CRP01C3","Median Age","2017","2017","02","Executions","110","Sole transactions","IE0","Ireland","110","Buyer with child/children","Number","42"
"CRP01C3","Median Age","2017","2017","02","Executions","110","Sole transactions","IE0","Ireland","120","Buyer without child/children","Number","43"
"CRP01C3","Median Age","2017","2017","02","Executions","110","Sole transactions","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","-","All buyer types","Number","45"
"CRP01C3","Median Age","2017","2017","02","Executions","110","Sole transactions","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","110","Buyer with child/children","Number","41"
"CRP01C3","Median Age","2017","2017","02","Executions","110","Sole transactions","B1A65D7C-1984-4A87-AD58-0E846812C992","Border","120","Buyer without child/children","Number","46"
"CRP01C3","Median Age","2017","2017","02","Executions","110","Sole transactions","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","-","All buyer types","Number","45"
"CRP01C3","Median Age","2017","2017","02","Executions","110","Sole transactions","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","110","Buyer with child/children","Number","41"
"CRP01C3","Median Age","2017","2017","02","Executions","110","Sole transactions","A69CA800-8D87-4920-A7C1-50426A1D39B4","West","120","Buyer without child/children","Number","46"
"CRP01C3","Median Age","2017","2017","02","Executions","110","Sole transactions","42C5C2A5-2D71-4BD1-BDB5-BD7D3198CD78","Mid West","-","All buyer types","Number","42"
